temp,sample,np_DW,np_Chl,np_SA,treatment_type,type
10,C6,1.529779484,1.803576884,1.398807612,control,NP
15,C1,2.15039655,5.241073052,3.162612928,control,NP
15,C2,0.2919480817,0.3058546824,0.4910382034,control,NP
15,C3,1.908619654,4.534766313,2.421538023,control,NP
15,C4,1.762741621,1.036368534,2.606132024,control,NP
15,C5,-1.716860158,-1.965706851,-2.287027105,control,NP
15,C6,-1.468925833,-1.731831747,-1.343163938,control,NP
20,C1,0.8741511091,2.130532539,1.285624086,control,NP
20,C2,-1.192221157,-1.249011198,-2.00524056,control,NP
20,C3,-1.543702627,-3.667745248,-1.958553973,control,NP
20,C4,1.816227127,1.067814263,2.685207873,control,NP
20,C5,-2.578404672,-2.952126127,-3.434689393,control,NP
20,C6,-1.202087489,-1.417235117,-1.099170924,control,NP
25,C1,0.03516768719,0.08571275733,0.05172152185,control,NP
25,C2,-1.71749946,-1.799310511,-2.888725435,control,NP
25,C3,-1.939879629,-4.609038146,-2.461198737,control,NP
25,C4,-0.1980464133,-0.1164374112,-0.2928024696,control,NP
25,C5,-1.817476364,-2.080906662,-2.421057818,control,NP
25,C6,-4.123091121,-4.861035144,-3.770093209,control,NP
30,C1,-1.048209803,-2.554758633,-1.541614208,control,NP
30,C2,-2.860562478,-2.996821979,-4.811285114,control,NP
30,C3,-2.377133346,-5.647926864,-3.015959084,control,NP
2,T1,2.093907962,1.127164106,3.31937991,treatment,NP
2,T2,1.598124511,1.087266039,3.184820445,treatment,NP
2,T3,3.511545774,4.013268556,4.805748697,treatment,NP
5,T1,1.456727628,0.7841658393,2.309286038,treatment,NP
5,T2,1.533322464,1.043178695,3.055679765,treatment,NP
5,T3,3.491608054,3.990482173,4.778462801,treatment,NP
5,T4,0.6946255126,1.176416165,3.336074206,treatment,NP
5,T5,0.2765129502,0.1442575909,0.434600795,treatment,NP
5,T6,0.3112452787,0.1816909267,0.5804601065,treatment,NP
10,T1,1.097438035,0.5907579433,1.739720098,treatment,NP
10,T2,0.6310058221,0.4292977149,1.257499168,treatment,NP
10,T3,2.969543614,3.393826189,4.063988133,treatment,NP
10,T4,0.9980903214,1.690363465,4.793523008,treatment,NP
10,T5,4.432022241,2.312198582,6.965895768,treatment,NP
10,T6,4.937761847,2.882442201,9.208730104,treatment,NP
15,T1,1.816518356,0.9778434994,2.879646406,treatment,NP
15,T2,2.482898012,1.68921174,4.948040216,treatment,NP
15,T3,4.57265541,5.225987458,6.257937157,treatment,NP
15,T4,0.6870606289,1.163604296,3.29974238,treatment,NP
15,T5,1.995935038,1.041284974,3.137050014,treatment,NP
15,T6,3.772780492,2.202378738,7.03608606,treatment,NP
20,T1,-0.4055426841,-0.2183062318,-0.6428889247,treatment,NP
20,T2,2.191816332,1.491177593,4.367958452,treatment,NP
20,T3,1.386237786,1.584300726,1.897144695,treatment,NP
20,T4,0.8731266128,1.478725217,4.193360478,treatment,NP
20,T5,0.2221673277,0.1159053254,0.3491847206,treatment,NP
20,T6,3.300964813,1.926954068,6.156168521,treatment,NP
25,T1,-1.797248939,-0.9674706484,-2.849099449,treatment,NP
25,T2,-0.4864932173,-0.3309801894,-0.9695074032,treatment,NP
25,T3,1.027321567,1.17410326,1.405947579,treatment,NP
25,T4,0.2491695876,0.4219930387,1.196685436,treatment,NP
25,T5,0.2572187393,0.1341917463,0.4042757075,treatment,NP
25,T6,3.452636248,2.015492998,6.439029736,treatment,NP
30,T1,-3.603542526,-1.939810089,-5.712536979,treatment,NP
30,T2,0.05844098797,0.03975966895,0.1164640502,treatment,NP
30,T3,-0.5352591115,-0.6117358849,-0.7325323214,treatment,NP
