"wavelength_nm","otc_arbunits","lamp_arbunits","absorbance"
578.87,49172.367,53547.199,0.03701565
579.209,49065.568,53343.432,0.03630412
579.549,49031.529,53290.164,0.03617163
579.889,49464.015,53808.605,0.03656237
580.228,49086.043,53392.729,0.0365241
580.568,48789.032,53066.297,0.03649658
580.908,48984.705,53301.062,0.03667536
581.247,49398.686,53814.56,0.0371844
581.587,49368.139,53771.825,0.03710802
581.927,48872.358,53165.215,0.03656429
582.266,49135.825,53461.266,0.03664099
582.606,48999.353,53372.523,0.03712739
582.946,49359.504,53694.654,0.03656027
583.285,49091.363,53465.265,0.03706664
583.625,48789.414,53064.014,0.0364745
583.965,49119.909,53462.402,0.03679091
584.305,49188.019,53509.358,0.03657041
584.644,48922.672,53247.098,0.03678577
584.984,48969.143,53291.042,0.03673172
585.324,48933.697,53274.203,0.03690894
585.663,49087.132,53429.4,0.03681264
586.003,48839.26,53191.109,0.03706997
586.343,49019.75,53325.383,0.03656289
586.682,49000.459,53338.864,0.03684361
587.022,48897.198,53275.693,0.03724513
587.362,48606.175,52952.304,0.03719342
587.701,48840.704,53217.819,0.03727516
588.041,48932.183,53347.822,0.0375221
588.381,48995.683,53352.636,0.03699806
588.72,49047.74,53404.086,0.03695549
589.06,49204.31,53559.336,0.03683203
589.4,48928.011,53273.583,0.03695435
589.74,48564.274,52924.413,0.03733915
590.079,48705.531,53044.756,0.03706417
590.419,48846.933,53219.78,0.03723577
590.759,49164.069,53480.536,0.03654793
591.098,48956.786,53304.137,0.03694802
591.438,48815.661,53224.418,0.03755175
591.778,48716.532,53077.014,0.03723012
592.117,49039.341,53350.616,0.03659482
592.457,49006.126,53361.949,0.03698132
592.797,48838.426,53172.314,0.0369239
593.136,48879.243,53185.977,0.03667267
593.476,48885.854,53204.042,0.03676142
593.816,49162.928,53500.617,0.03672104
594.155,48929.515,53258.013,0.03681405
594.495,48703.261,53022.051,0.03689848
594.835,48669.299,52990.543,0.03694328
595.175,48626.286,52857.728,0.03623738
595.514,48804.777,53020.187,0.03597892
595.854,49016.931,53287.614,0.03628016
596.194,49151.193,53441.629,0.03634563
596.533,49120.43,53346.654,0.03584503
596.873,48878.023,53050.522,0.03557603
597.213,48821.568,53006.7,0.03571905
597.552,48913.961,53030.638,0.03509402
597.892,48841.823,52999.322,0.03547845
598.232,48966.84,53168.015,0.03574836
598.571,49001.809,53174.541,0.03549163
598.911,48809.343,53061.561,0.03627706
599.251,48968.578,53222.607,0.03617866
599.59,48958.066,53118.294,0.03541986
599.93,48908.823,53030.562,0.03513901
600.27,49031.13,53173.456,0.03522299
600.61,48924.274,53057.819,0.035225
600.949,48999.172,53069.98,0.03466018
601.289,48807.178,52912.787,0.03507694
601.629,48742.47,52880.228,0.03538579
601.968,48694.713,52826.586,0.03537074
602.308,48809.085,52934.914,0.03524155
602.648,48716.496,52833.802,0.03523582
602.987,48511.306,52599.257,0.03513665
603.327,48559.801,52570.312,0.03446366
603.667,48534.803,52608.475,0.03500245
604.006,48409.617,52487.468,0.03512398
604.346,48635.145,52715.021,0.03498416
604.686,48631.576,52643.74,0.03442839
605.026,48550.216,52575.788,0.03459462
605.365,48401.922,52346.421,0.03402438
605.705,48480.877,52498.125,0.03457332
606.045,48390.725,52372.201,0.0343387
606.384,48279.789,52282.353,0.03458975
606.724,48074.668,52022.489,0.03427484
